full_date,date_sk,year,month,day,weekday,quarter
2024-10-24,298,2024,10,24,4,4
2024-10-25,299,2024,10,25,5,4
2024-10-26,300,2024,10,26,6,4
2024-10-27,301,2024,10,27,7,4
2024-10-28,302,2024,10,28,1,4
2024-10-29,303,2024,10,29,2,4
2024-10-30,304,2024,10,30,3,4
2024-10-31,305,2024,10,31,4,4
2024-11-01,306,2024,11,1,5,4
2024-11-02,307,2024,11,2,6,4
2024-11-03,308,2024,11,3,7,4
2024-11-04,309,2024,11,4,1,4
2024-11-05,310,2024,11,5,2,4
2024-11-06,311,2024,11,6,3,4
2024-11-07,312,2024,11,7,4,4
2024-11-08,313,2024,11,8,5,4
2024-11-09,314,2024,11,9,6,4
2024-11-10,315,2024,11,10,7,4
2024-11-11,316,2024,11,11,1,4
2024-11-12,317,2024,11,12,2,4
2024-11-13,318,2024,11,13,3,4
2024-11-14,319,2024,11,14,4,4
2024-11-15,320,2024,11,15,5,4
2024-11-16,321,2024,11,16,6,4
2024-11-17,322,2024,11,17,7,4
2024-11-18,323,2024,11,18,1,4
2024-11-19,324,2024,11,19,2,4
2024-11-20,325,2024,11,20,3,4
2024-11-21,326,2024,11,21,4,4
2024-11-22,327,2024,11,22,5,4
2024-11-23,328,2024,11,23,6,4
2024-11-24,329,2024,11,24,7,4
2024-11-25,330,2024,11,25,1,4
2024-11-26,331,2024,11,26,2,4
2024-11-27,332,2024,11,27,3,4
2024-11-28,333,2024,11,28,4,4
2024-11-29,334,2024,11,29,5,4
2024-11-30,335,2024,11,30,6,4
2024-12-01,336,2024,12,1,7,4
2024-12-02,337,2024,12,2,1,4
2024-12-03,338,2024,12,3,2,4
2024-12-04,339,2024,12,4,3,4
2024-12-05,340,2024,12,5,4,4
2024-12-06,341,2024,12,6,5,4
2024-12-07,342,2024,12,7,6,4
2024-12-08,343,2024,12,8,7,4
2024-12-09,344,2024,12,9,1,4
2024-12-10,345,2024,12,10,2,4
2024-12-11,346,2024,12,11,3,4
2024-12-12,347,2024,12,12,4,4
2024-12-13,348,2024,12,13,5,4
2024-12-14,349,2024,12,14,6,4
2024-12-15,350,2024,12,15,7,4
2024-12-16,351,2024,12,16,1,4
2024-12-17,352,2024,12,17,2,4
2024-12-18,353,2024,12,18,3,4
2024-12-19,354,2024,12,19,4,4
2024-12-20,355,2024,12,20,5,4
2024-12-21,356,2024,12,21,6,4
2024-12-22,357,2024,12,22,7,4
2024-12-23,358,2024,12,23,1,4
2024-12-24,359,2024,12,24,2,4
2024-12-25,360,2024,12,25,3,4
2024-12-26,361,2024,12,26,4,4
2024-12-27,362,2024,12,27,5,4
2024-12-28,363,2024,12,28,6,4
2024-12-29,364,2024,12,29,7,4
2024-12-30,365,2024,12,30,1,4
2024-12-31,366,2024,12,31,2,4
